"High-Risk Clients","IP Address",Flows
"tcn-odva-02.njit.edu","128.235.205.77",18
"tcn-odva-01.njit.edu","128.235.205.76",16
"asa.ocean.edu","130.156.4.250",13
"128.112.58.150","128.112.58.150",12
"fwcr.rbhs.rutgers.edu","130.219.248.111",11
"130.156.51.187","130.156.51.187",6
"sitult.stevens-tech.edu","155.246.1.20",6
"159.91.88.125","159.91.88.125",5
"192.16.204.120","192.16.204.120",5
"130.156.101.248","130.156.101.248",4
"130.156.5.87","130.156.5.87",4
"192.231.177.161","192.231.177.161",4
"130.156.1.125","130.156.1.125",3
"130.156.44.2","130.156.44.2",2
"130.156.1.126","130.156.1.126",1
"130.156.141.2","130.156.141.2",1
"130.156.180.1","130.156.180.1",1
"130.156.38.15","130.156.38.15",1
"130.68.183.229","130.68.183.229",1
"192.231.178.11","192.231.178.11",1
"207.200.169.92","207.200.169.92",1
"51-15-156-79.rev.poneytelecom.eu","51.15.156.79",1
"c-69-142-36-95.hsd1.nj.comcast.net","69.142.36.95",1
"c-73-215-165-83.hsd1.nj.comcast.net","73.215.165.83",1
"c-73-216-48-194.hsd1.va.comcast.net","73.216.48.194",1
"c-98-221-241-43.hsd1.nj.comcast.net","98.221.241.43",1
"c-98-221-5-4.hsd1.nj.comcast.net","98.221.5.4",1
"d154-5-53-136.bchsia.telus.net","154.5.53.136",1
"ext-66.ias.edu","192.16.204.66",1
"host163.nps.k12.nj.us","130.156.179.163",1
"middlesexcc.edu","192.135.209.8",1
"pool-100-8-124-42.nwrknj.fios.verizon.net","100.8.124.42",1
"pool-108-50-140-226.nwrknj.fios.verizon.net","108.50.140.226",1
"pool-71-187-6-111.nwrknj.fios.verizon.net","71.187.6.111",1
"pool-74-102-137-97.nwrknj.fios.verizon.net","74.102.137.97",1
